"scenario","year","variable","value","units","source"
"ssp119",1750,"gmst",0,"degC","exp3"
"ssp119",1751,"gmst",0.0176537248206065,"degC","exp3"
"ssp119",1752,"gmst",0.0339647495432258,"degC","exp3"
"ssp119",1753,"gmst",0.045673312257672,"degC","exp3"
"ssp119",1754,"gmst",0.0538712054387438,"degC","exp3"
"ssp119",1755,"gmst",0.0585625631400039,"degC","exp3"
"ssp119",1756,"gmst",0.0417066363068911,"degC","exp3"
"ssp119",1757,"gmst",0.0377456076979324,"degC","exp3"
"ssp119",1758,"gmst",0.0448395971153778,"degC","exp3"
"ssp119",1759,"gmst",0.0536683706002765,"degC","exp3"
"ssp119",1760,"gmst",0.060838824975609,"degC","exp3"
"ssp119",1761,"gmst",0.0670119337620386,"degC","exp3"
"ssp119",1762,"gmst",-0.0111430015675904,"degC","exp3"
"ssp119",1763,"gmst",-0.0559453631661032,"degC","exp3"
"ssp119",1764,"gmst",-0.0454208875742985,"degC","exp3"
"ssp119",1765,"gmst",-0.0202049752216171,"degC","exp3"
"ssp119",1766,"gmst",-0.0270358488366794,"degC","exp3"
"ssp119",1767,"gmst",-0.0418166664314277,"degC","exp3"
"ssp119",1768,"gmst",-0.0305310017614518,"degC","exp3"
"ssp119",1769,"gmst",-0.00867914371228357,"degC","exp3"
"ssp119",1770,"gmst",-0.000403841436909199,"degC","exp3"
"ssp119",1771,"gmst",0.00970252306087054,"degC","exp3"
"ssp119",1772,"gmst",0.0245828539660908,"degC","exp3"
"ssp119",1773,"gmst",0.0387163980706895,"degC","exp3"
"ssp119",1774,"gmst",0.0492014164257477,"degC","exp3"
"ssp119",1775,"gmst",0.058189370789913,"degC","exp3"
"ssp119",1776,"gmst",0.0658805559627935,"degC","exp3"
"ssp119",1777,"gmst",0.0718640341065045,"degC","exp3"
"ssp119",1778,"gmst",0.0764092481802846,"degC","exp3"
"ssp119",1779,"gmst",0.0806237291469536,"degC","exp3"
"ssp119",1780,"gmst",0.0835580262695673,"degC","exp3"
"ssp119",1781,"gmst",0.0865941820594152,"degC","exp3"
"ssp119",1782,"gmst",0.089437135608837,"degC","exp3"
"ssp119",1783,"gmst",-0.0730642330804444,"degC","exp3"
"ssp119",1784,"gmst",-0.391574243835523,"degC","exp3"
"ssp119",1785,"gmst",-0.453750332744276,"degC","exp3"
"ssp119",1786,"gmst",-0.390236545109107,"degC","exp3"
"ssp119",1787,"gmst",-0.303273220326451,"degC","exp3"
"ssp119",1788,"gmst",-0.22342241610431,"degC","exp3"
"ssp119",1789,"gmst",-0.158699023368286,"degC","exp3"
"ssp119",1790,"gmst",-0.109081270555891,"degC","exp3"
"ssp119",1791,"gmst",-0.0705316738833951,"degC","exp3"
"ssp119",1792,"gmst",-0.0403722909635146,"degC","exp3"
"ssp119",1793,"gmst",-0.0168609411556948,"degC","exp3"
"ssp119",1794,"gmst",0.00061241392442593,"degC","exp3"
"ssp119",1795,"gmst",0.0153243400250923,"degC","exp3"
"ssp119",1796,"gmst",0.0159865283715492,"degC","exp3"
"ssp119",1797,"gmst",0.00640375294409896,"degC","exp3"
"ssp119",1798,"gmst",0.00808706242975126,"degC","exp3"
"ssp119",1799,"gmst",0.0195020630750307,"degC","exp3"
"ssp119",1800,"gmst",0.0320497039421421,"degC","exp3"
"ssp119",1801,"gmst",0.0436012376761473,"degC","exp3"
"ssp119",1802,"gmst",0.0531563485382876,"degC","exp3"
"ssp119",1803,"gmst",0.0615946784218775,"degC","exp3"
"ssp119",1804,"gmst",0.0692755559948683,"degC","exp3"
"ssp119",1805,"gmst",0.0750233841437633,"degC","exp3"
"ssp119",1806,"gmst",0.0803592382936556,"degC","exp3"
"ssp119",1807,"gmst",0.0849253218109357,"degC","exp3"
"ssp119",1808,"gmst",0.0880970665976929,"degC","exp3"
"ssp119",1809,"gmst",-0.23579955615842,"degC","exp3"
"ssp119",1810,"gmst",-0.429810650465564,"degC","exp3"
"ssp119",1811,"gmst",-0.404954496672201,"degC","exp3"
"ssp119",1812,"gmst",-0.312490085462337,"degC","exp3"
"ssp119",1813,"gmst",-0.224201031498735,"degC","exp3"
"ssp119",1814,"gmst",-0.155214658415293,"degC","exp3"
"ssp119",1815,"gmst",-0.426343471872506,"degC","exp3"
"ssp119",1816,"gmst",-0.768889644338998,"degC","exp3"
"ssp119",1817,"gmst",-0.772982802671575,"degC","exp3"
"ssp119",1818,"gmst",-0.633442573804637,"degC","exp3"
"ssp119",1819,"gmst",-0.488162936399552,"degC","exp3"
"ssp119",1820,"gmst",-0.370391754444914,"degC","exp3"
"ssp119",1821,"gmst",-0.289229950336087,"degC","exp3"
"ssp119",1822,"gmst",-0.229485477620718,"degC","exp3"
"ssp119",1823,"gmst",-0.213996435888679,"degC","exp3"
"ssp119",1824,"gmst",-0.182793839680441,"degC","exp3"
"ssp119",1825,"gmst",-0.141332959615547,"degC","exp3"
"ssp119",1826,"gmst",-0.10215306489831,"degC","exp3"
"ssp119",1827,"gmst",-0.0695192433859157,"degC","exp3"
"ssp119",1828,"gmst",-0.0439272746948495,"degC","exp3"
"ssp119",1829,"gmst",-0.0224853626510056,"degC","exp3"
"ssp119",1830,"gmst",-0.00475578780414751,"degC","exp3"
"ssp119",1831,"gmst",-0.212864838889747,"degC","exp3"
"ssp119",1832,"gmst",-0.331405624156465,"degC","exp3"
"ssp119",1833,"gmst",-0.30445763743808,"degC","exp3"
"ssp119",1834,"gmst",-0.234991653691858,"degC","exp3"
"ssp119",1835,"gmst",-0.332572172614494,"degC","exp3"
"ssp119",1836,"gmst",-0.376072826991709,"degC","exp3"
"ssp119",1837,"gmst",-0.323696393929945,"degC","exp3"
"ssp119",1838,"gmst",-0.248054481522314,"degC","exp3"
"ssp119",1839,"gmst",-0.180840845393249,"degC","exp3"
"ssp119",1840,"gmst",-0.127530692443531,"degC","exp3"
"ssp119",1841,"gmst",-0.0860623751442594,"degC","exp3"
"ssp119",1842,"gmst",-0.0533672028483019,"degC","exp3"
"ssp119",1843,"gmst",-0.0264519532562797,"degC","exp3"
"ssp119",1844,"gmst",-0.0040316849765485,"degC","exp3"
"ssp119",1845,"gmst",0.0138080364317824,"degC","exp3"
"ssp119",1846,"gmst",0.0126352825599617,"degC","exp3"
"ssp119",1847,"gmst",0.0156946502244132,"degC","exp3"
"ssp119",1848,"gmst",0.0272197684400657,"degC","exp3"
"ssp119",1849,"gmst",0.0412882931587048,"degC","exp3"
"ssp119",1850,"gmst",0.0540385374313503,"degC","exp3"
"ssp119",1851,"gmst",0.0660544661646595,"degC","exp3"
"ssp119",1852,"gmst",0.0764722314861122,"degC","exp3"
"ssp119",1853,"gmst",0.0702095083038275,"degC","exp3"
"ssp119",1854,"gmst",0.0604306356833972,"degC","exp3"
"ssp119",1855,"gmst",0.066595596433455,"degC","exp3"
"ssp119",1856,"gmst",0.0750474549630365,"degC","exp3"
"ssp119",1857,"gmst",0.0664601632369955,"degC","exp3"
"ssp119",1858,"gmst",0.0703978325443118,"degC","exp3"
"ssp119",1859,"gmst",0.0824790022285993,"degC","exp3"
"ssp119",1860,"gmst",0.0948648482024651,"degC","exp3"
"ssp119",1861,"gmst",0.0998087773402938,"degC","exp3"
"ssp119",1862,"gmst",0.0353999590709391,"degC","exp3"
"ssp119",1863,"gmst",0.012212518484475,"degC","exp3"
