"scenario","year","variable","value","units","source"
"ssp119",1750,"gmst",0,"degC","exp2"
"ssp119",1751,"gmst",0.0176769263471283,"degC","exp2"
"ssp119",1752,"gmst",0.0340309040816502,"degC","exp2"
"ssp119",1753,"gmst",0.0457746906001414,"degC","exp2"
"ssp119",1754,"gmst",0.0540000149926979,"degC","exp2"
"ssp119",1755,"gmst",0.0587108033685828,"degC","exp2"
"ssp119",1756,"gmst",0.0418420282112791,"degC","exp2"
"ssp119",1757,"gmst",0.0378588512723749,"degC","exp2"
"ssp119",1758,"gmst",0.0449607397331009,"degC","exp2"
"ssp119",1759,"gmst",0.0538102569518966,"degC","exp2"
"ssp119",1760,"gmst",0.0610020272368682,"degC","exp2"
"ssp119",1761,"gmst",0.0671944961788936,"degC","exp2"
"ssp119",1762,"gmst",-0.0110519746128395,"degC","exp2"
"ssp119",1763,"gmst",-0.0560042200503314,"degC","exp2"
"ssp119",1764,"gmst",-0.045515810590824,"degC","exp2"
"ssp119",1765,"gmst",-0.0202606257608837,"degC","exp2"
"ssp119",1766,"gmst",-0.0270765984753164,"degC","exp2"
"ssp119",1767,"gmst",-0.0418865206146689,"degC","exp2"
"ssp119",1768,"gmst",-0.030601692054934,"degC","exp2"
"ssp119",1769,"gmst",-0.008707446228085,"degC","exp2"
"ssp119",1770,"gmst",-0.000396380892390907,"degC","exp2"
"ssp119",1771,"gmst",0.0097340733919954,"degC","exp2"
"ssp119",1772,"gmst",0.024649111405472,"degC","exp2"
"ssp119",1773,"gmst",0.0388215039783091,"degC","exp2"
"ssp119",1774,"gmst",0.049340027247551,"degC","exp2"
"ssp119",1775,"gmst",0.0583559180904493,"degC","exp2"
"ssp119",1776,"gmst",0.0660719585581647,"degC","exp2"
"ssp119",1777,"gmst",0.0720764606156984,"degC","exp2"
"ssp119",1778,"gmst",0.0766387978314298,"degC","exp2"
"ssp119",1779,"gmst",0.0808682666968081,"degC","exp2"
"ssp119",1780,"gmst",0.0838154860236912,"degC","exp2"
"ssp119",1781,"gmst",0.0868631738668492,"degC","exp2"
"ssp119",1782,"gmst",0.0897176933747814,"degC","exp2"
"ssp119",1783,"gmst",-0.0729890642084282,"degC","exp2"
"ssp119",1784,"gmst",-0.39210964493661,"degC","exp2"
"ssp119",1785,"gmst",-0.454746909476273,"degC","exp2"
"ssp119",1786,"gmst",-0.391239965639914,"degC","exp2"
"ssp119",1787,"gmst",-0.304131821498039,"degC","exp2"
"ssp119",1788,"gmst",-0.224099606960397,"degC","exp2"
"ssp119",1789,"gmst",-0.1592057988806,"degC","exp2"
"ssp119",1790,"gmst",-0.109444974723768,"degC","exp2"
"ssp119",1791,"gmst",-0.0707799132248133,"degC","exp2"
"ssp119",1792,"gmst",-0.0405277099571269,"degC","exp2"
"ssp119",1793,"gmst",-0.0169424166908764,"degC","exp2"
"ssp119",1794,"gmst",0.000588419033438965,"degC","exp2"
"ssp119",1795,"gmst",0.0153463238798926,"degC","exp2"
"ssp119",1796,"gmst",0.016032241620582,"degC","exp2"
"ssp119",1797,"gmst",0.00644230993651034,"degC","exp2"
"ssp119",1798,"gmst",0.00812084979865451,"degC","exp2"
"ssp119",1799,"gmst",0.0195560308620992,"degC","exp2"
"ssp119",1800,"gmst",0.0321354676298571,"degC","exp2"
"ssp119",1801,"gmst",0.0437197545824102,"degC","exp2"
"ssp119",1802,"gmst",0.0533053975426025,"degC","exp2"
"ssp119",1803,"gmst",0.0617714321699943,"degC","exp2"
"ssp119",1804,"gmst",0.0694783587516182,"degC","exp2"
"ssp119",1805,"gmst",0.075249142937504,"degC","exp2"
"ssp119",1806,"gmst",0.0806053639453518,"degC","exp2"
"ssp119",1807,"gmst",0.0851905739915936,"degC","exp2"
"ssp119",1808,"gmst",0.0883787517681998,"degC","exp2"
"ssp119",1809,"gmst",-0.235931783481133,"degC","exp2"
"ssp119",1810,"gmst",-0.430581693211744,"degC","exp2"
"ssp119",1811,"gmst",-0.405917944707078,"degC","exp2"
"ssp119",1812,"gmst",-0.313336908408783,"degC","exp2"
"ssp119",1813,"gmst",-0.224856522185939,"degC","exp2"
"ssp119",1814,"gmst",-0.155688311435103,"degC","exp2"
"ssp119",1815,"gmst",-0.427089465954635,"degC","exp2"
"ssp119",1816,"gmst",-0.770405127302544,"degC","exp2"
