"scenario","year","variable","value","units","source"
"ssp119",1829,"gmst",-0.0204558949343587,"degC","V3.5.0"
"ssp119",1830,"gmst",-0.00351470627221184,"degC","V3.5.0"
"ssp119",1831,"gmst",-0.208198795648738,"degC","V3.5.0"
"ssp119",1832,"gmst",-0.321155667113577,"degC","V3.5.0"
"ssp119",1833,"gmst",-0.292863268179049,"degC","V3.5.0"
"ssp119",1834,"gmst",-0.224881159646668,"degC","V3.5.0"
"ssp119",1835,"gmst",-0.32158051279692,"degC","V3.5.0"
"ssp119",1836,"gmst",-0.362570804428174,"degC","V3.5.0"
"ssp119",1837,"gmst",-0.3105342116391,"degC","V3.5.0"
"ssp119",1838,"gmst",-0.237043294466573,"degC","V3.5.0"
"ssp119",1839,"gmst",-0.172231139010767,"degC","V3.5.0"
"ssp119",1840,"gmst",-0.121066683821138,"degC","V3.5.0"
"ssp119",1841,"gmst",-0.081385845924036,"degC","V3.5.0"
"ssp119",1842,"gmst",-0.0501582607871591,"degC","V3.5.0"
"ssp119",1843,"gmst",-0.0244662210086097,"degC","V3.5.0"
"ssp119",1844,"gmst",-0.00308584901590046,"degC","V3.5.0"
"ssp119",1845,"gmst",0.0138806432681138,"degC","V3.5.0"
"ssp119",1846,"gmst",0.0122663462037143,"degC","V3.5.0"
"ssp119",1847,"gmst",0.0151298354516961,"degC","V3.5.0"
"ssp119",1848,"gmst",0.0262315390734918,"degC","V3.5.0"
"ssp119",1849,"gmst",0.0397176495677678,"degC","V3.5.0"
"ssp119",1850,"gmst",0.0518677738134197,"degC","V3.5.0"
"ssp119",1851,"gmst",0.0633055410848386,"degC","V3.5.0"
"ssp119",1852,"gmst",0.0731747809558165,"degC","V3.5.0"
"ssp119",1853,"gmst",0.0666914412197881,"degC","V3.5.0"
"ssp119",1854,"gmst",0.057033043794084,"degC","V3.5.0"
"ssp119",1855,"gmst",0.0630787597839337,"degC","V3.5.0"
"ssp119",1856,"gmst",0.0711251800136687,"degC","V3.5.0"
"ssp119",1857,"gmst",0.0624244941531709,"degC","V3.5.0"
"ssp119",1858,"gmst",0.0662867787767019,"degC","V3.5.0"
"ssp119",1859,"gmst",0.0779192680078027,"degC","V3.5.0"
"ssp119",1860,"gmst",0.0897412291381835,"degC","V3.5.0"
"ssp119",1861,"gmst",0.0942412929489036,"degC","V3.5.0"
"ssp119",1862,"gmst",0.0307752527840012,"degC","V3.5.0"
"ssp119",1863,"gmst",0.00893452537737061,"degC","V3.5.0"
"ssp119",1864,"gmst",0.0264534359765932,"degC","V3.5.0"
"ssp119",1865,"gmst",0.0513576737429726,"degC","V3.5.0"
