"scenario","year","variable","value","units","version"
"1pctCO2",1831,"gmst",0.672164794831237,"degC","3.5.0"
"1pctCO2",1832,"gmst",0.699657183878315,"degC","3.5.0"
"1pctCO2",1833,"gmst",0.727311779608521,"degC","3.5.0"
"1pctCO2",1834,"gmst",0.755123528055918,"degC","3.5.0"
"1pctCO2",1835,"gmst",0.78308774501217,"degC","3.5.0"
"1pctCO2",1836,"gmst",0.811200081491367,"degC","3.5.0"
"1pctCO2",1837,"gmst",0.839456492703027,"degC","3.5.0"
"1pctCO2",1838,"gmst",0.86785321105753,"degC","3.5.0"
"1pctCO2",1839,"gmst",0.896386722078418,"degC","3.5.0"
"1pctCO2",1840,"gmst",0.925053742885712,"degC","3.5.0"
"1pctCO2",1841,"gmst",0.953851203303341,"degC","3.5.0"
"1pctCO2",1842,"gmst",0.98277622840157,"degC","3.5.0"
"1pctCO2",1843,"gmst",1.01182612323441,"degC","3.5.0"
"1pctCO2",1844,"gmst",1.0409983590734,"degC","3.5.0"
"1pctCO2",1845,"gmst",1.07029056066165,"degC","3.5.0"
"1pctCO2",1846,"gmst",1.09970049509706,"degC","3.5.0"
"1pctCO2",1847,"gmst",1.12922606124655,"degC","3.5.0"
"1pctCO2",1848,"gmst",1.1588652806285,"degC","3.5.0"
"1pctCO2",1849,"gmst",1.1886162888436,"degC","3.5.0"
"1pctCO2",1850,"gmst",1.21847732766402,"degC","3.5.0"
"1pctCO2",1851,"gmst",1.24844673798435,"degC","3.5.0"
"1pctCO2",1852,"gmst",1.27852295309022,"degC","3.5.0"
"1pctCO2",1853,"gmst",1.30870449296686,"degC","3.5.0"
"1pctCO2",1854,"gmst",1.33898995846094,"degC","3.5.0"
"1pctCO2",1855,"gmst",1.36937802636419,"degC","3.5.0"
"1pctCO2",1856,"gmst",1.39986744441979,"degC","3.5.0"
"1pctCO2",1857,"gmst",1.43045702727191,"degC","3.5.0"
"1pctCO2",1858,"gmst",1.46114565203751,"degC","3.5.0"
"1pctCO2",1859,"gmst",1.49193225485568,"degC","3.5.0"
"1pctCO2",1860,"gmst",1.52281582713059,"degC","3.5.0"
"1pctCO2",1861,"gmst",1.55379541246273,"degC","3.5.0"
"1pctCO2",1862,"gmst",1.58487010334562,"degC","3.5.0"
"1pctCO2",1863,"gmst",1.61603903851839,"degC","3.5.0"
"1pctCO2",1864,"gmst",1.64730140014706,"degC","3.5.0"
"1pctCO2",1865,"gmst",1.67865641121126,"degC","3.5.0"
"1pctCO2",1866,"gmst",1.71010333341579,"degC","3.5.0"
"1pctCO2",1867,"gmst",1.74164146476051,"degC","3.5.0"
"1pctCO2",1868,"gmst",1.77327013747369,"degC","3.5.0"
"1pctCO2",1869,"gmst",1.80498871584646,"degC","3.5.0"
"1pctCO2",1870,"gmst",1.83679659461135,"degC","3.5.0"
"1pctCO2",1871,"gmst",1.86869319715471,"degC","3.5.0"
"1pctCO2",1872,"gmst",1.90067797345946,"degC","3.5.0"
"1pctCO2",1873,"gmst",1.93275039897226,"degC","3.5.0"
"1pctCO2",1874,"gmst",1.96490997263508,"degC","3.5.0"
"1pctCO2",1875,"gmst",1.99715621575579,"degC","3.5.0"
"1pctCO2",1876,"gmst",2.02948867027111,"degC","3.5.0"
"1pctCO2",1877,"gmst",2.06190689764317,"degC","3.5.0"
"1pctCO2",1878,"gmst",2.09441047758713,"degC","3.5.0"
"1pctCO2",1879,"gmst",2.12699900649773,"degC","3.5.0"
"1pctCO2",1880,"gmst",2.15967209670812,"degC","3.5.0"
"1pctCO2",1881,"gmst",2.19242937501188,"degC","3.5.0"
"1pctCO2",1882,"gmst",2.22527048150967,"degC","3.5.0"
"1pctCO2",1883,"gmst",2.25819506882985,"degC","3.5.0"
"1pctCO2",1884,"gmst",2.29120280077069,"degC","3.5.0"
"1pctCO2",1885,"gmst",2.3242933514367,"degC","3.5.0"
"1pctCO2",1886,"gmst",2.35746640420089,"degC","3.5.0"
"1pctCO2",1887,"gmst",2.39072165070216,"degC","3.5.0"
"1pctCO2",1888,"gmst",2.42405878998917,"degC","3.5.0"
"1pctCO2",1889,"gmst",2.45747752737951,"degC","3.5.0"
"1pctCO2",1890,"gmst",2.49097757386428,"degC","3.5.0"
"1pctCO2",1891,"gmst",2.52455864489818,"degC","3.5.0"
"1pctCO2",1892,"gmst",2.55822045978817,"degC","3.5.0"
"1pctCO2",1893,"gmst",2.59196274050015,"degC","3.5.0"
"1pctCO2",1894,"gmst",2.62578521120597,"degC","3.5.0"
"1pctCO2",1895,"gmst",2.65968759700251,"degC","3.5.0"
"1pctCO2",1896,"gmst",2.69366962343484,"degC","3.5.0"
"1pctCO2",1897,"gmst",2.7277310153728,"degC","3.5.0"
"1pctCO2",1898,"gmst",2.76187149642879,"degC","3.5.0"
"1pctCO2",1899,"gmst",2.79609078788696,"degC","3.5.0"
"1pctCO2",1900,"gmst",2.83038860809783,"degC","3.5.0"
"1pctCO2",1901,"gmst",2.86476467152923,"degC","3.5.0"
"1pctCO2",1902,"gmst",2.89921868789939,"degC","3.5.0"
"1pctCO2",1903,"gmst",2.93375036149753,"degC","3.5.0"
"1pctCO2",1904,"gmst",2.96835939021434,"degC","3.5.0"
"1pctCO2",1905,"gmst",3.00304546480444,"degC","3.5.0"
"1pctCO2",1906,"gmst",3.03780826802692,"degC","3.5.0"
"1pctCO2",1907,"gmst",3.07264747378722,"degC","3.5.0"
"1pctCO2",1908,"gmst",3.10756274629839,"degC","3.5.0"
"1pctCO2",1909,"gmst",3.14255373925059,"degC","3.5.0"
"1pctCO2",1910,"gmst",3.17762009498216,"degC","3.5.0"
"1pctCO2",1911,"gmst",3.21276144351651,"degC","3.5.0"
"1pctCO2",1912,"gmst",3.24797740168359,"degC","3.5.0"
"1pctCO2",1913,"gmst",3.28326757244976,"degC","3.5.0"
"1pctCO2",1914,"gmst",3.31863154375572,"degC","3.5.0"
"1pctCO2",1915,"gmst",3.35406888769812,"degC","3.5.0"
"1pctCO2",1916,"gmst",3.38957915966494,"degC","3.5.0"
"1pctCO2",1917,"gmst",3.42516189737605,"degC","3.5.0"
"1pctCO2",1918,"gmst",3.46081661992057,"degC","3.5.0"
"1pctCO2",1919,"gmst",3.49654282679465,"degC","3.5.0"
"1pctCO2",1920,"gmst",3.532339996811,"degC","3.5.0"
"1pctCO2",1921,"gmst",3.56820758738264,"degC","3.5.0"
"1pctCO2",1922,"gmst",3.60414503321701,"degC","3.5.0"
"1pctCO2",1923,"gmst",3.64015174555385,"degC","3.5.0"
"1pctCO2",1924,"gmst",3.67622711079202,"degC","3.5.0"
"1pctCO2",1925,"gmst",3.71237048976659,"degC","3.5.0"
"1pctCO2",1926,"gmst",3.74858121641103,"degC","3.5.0"
"1pctCO2",1927,"gmst",3.78485859680247,"degC","3.5.0"
"1pctCO2",1928,"gmst",3.82120190791372,"degC","3.5.0"
"1pctCO2",1929,"gmst",3.85761039651172,"degC","3.5.0"
"1pctCO2",1930,"gmst",3.89408327782052,"degC","3.5.0"
"1pctCO2",1931,"gmst",3.93061973534343,"degC","3.5.0"
"1pctCO2",1932,"gmst",3.96721891736048,"degC","3.5.0"
"1pctCO2",1933,"gmst",4.00387993779495,"degC","3.5.0"
