"scenario","year","variable","value","units","source"
"ssp119",1750,"gmst",0,"degC","v349"
"ssp119",1751,"gmst",0.0151994399442379,"degC","v349"
"ssp119",1752,"gmst",0.0271439463196834,"degC","v349"
"ssp119",1753,"gmst",0.0354871139397583,"degC","v349"
"ssp119",1754,"gmst",0.0412544107844837,"degC","v349"
"ssp119",1755,"gmst",0.0444311009750734,"degC","v349"
"ssp119",1756,"gmst",0.0295186759747545,"degC","v349"
"ssp119",1757,"gmst",0.0283101601136832,"degC","v349"
"ssp119",1758,"gmst",0.0349090070040423,"degC","v349"
"ssp119",1759,"gmst",0.0419731267290729,"degC","v349"
"ssp119",1760,"gmst",0.0474250980355795,"degC","v349"
"ssp119",1761,"gmst",0.052163233764619,"degC","v349"
"ssp119",1762,"gmst",-0.0156060725244342,"degC","v349"
"ssp119",1763,"gmst",-0.0446166625108557,"degC","v349"
"ssp119",1764,"gmst",-0.0308922681656195,"degC","v349"
"ssp119",1765,"gmst",-0.0102844733299617,"degC","v349"
"ssp119",1766,"gmst",-0.0187896751831885,"degC","v349"
"ssp119",1767,"gmst",-0.0306139334539213,"degC","v349"
"ssp119",1768,"gmst",-0.0195529824864875,"degC","v349"
"ssp119",1769,"gmst",-0.00240842888940084,"degC","v349"
"ssp119",1770,"gmst",0.00210526275972962,"degC","v349"
"ssp119",1771,"gmst",0.00977180765324944,"degC","v349"
"ssp119",1772,"gmst",0.0211569461368933,"degC","v349"
"ssp119",1773,"gmst",0.031489285117381,"degC","v349"
"ssp119",1774,"gmst",0.0388680239583903,"degC","v349"
"ssp119",1775,"gmst",0.0454262257109692,"degC","v349"
"ssp119",1776,"gmst",0.0510829166717114,"degC","v349"
"ssp119",1777,"gmst",0.0554981060373845,"degC","v349"
"ssp119",1778,"gmst",0.0589340771317121,"degC","v349"
"ssp119",1779,"gmst",0.0622980233266796,"degC","v349"
"ssp119",1780,"gmst",0.0646356710461614,"degC","v349"
"ssp119",1781,"gmst",0.0672502556138202,"degC","v349"
"ssp119",1782,"gmst",0.069697331732214,"degC","v349"
"ssp119",1783,"gmst",-0.0701567469192086,"degC","v349"
"ssp119",1784,"gmst",-0.324648116311137,"degC","v349"
"ssp119",1785,"gmst",-0.34178713897429,"degC","v349"
"ssp119",1786,"gmst",-0.282174703761455,"degC","v349"
"ssp119",1787,"gmst",-0.214155470041392,"degC","v349"
"ssp119",1788,"gmst",-0.155965793904623,"degC","v349"
"ssp119",1789,"gmst",-0.110825791113866,"degC","v349"
"ssp119",1790,"gmst",-0.0772573968240884,"degC","v349"
"ssp119",1791,"gmst",-0.0514073670805043,"degC","v349"
"ssp119",1792,"gmst",-0.0312506352587616,"degC","v349"
"ssp119",1793,"gmst",-0.0155170754641739,"degC","v349"
"ssp119",1794,"gmst",-0.00390008022851351,"degC","v349"
"ssp119",1795,"gmst",0.00630971401654339,"degC","v349"
"ssp119",1796,"gmst",0.00494995956627837,"degC","v349"
"ssp119",1797,"gmst",-0.00337695440491754,"degC","v349"
"ssp119",1798,"gmst",-0.00079619229210414,"degC","v349"
"ssp119",1799,"gmst",0.00887747901625666,"degC","v349"
"ssp119",1800,"gmst",0.0185860459219286,"degC","v349"
"ssp119",1801,"gmst",0.027343504375513,"degC","v349"
"ssp119",1802,"gmst",0.0344597432808756,"degC","v349"
"ssp119",1803,"gmst",0.0408468213169909,"degC","v349"
"ssp119",1804,"gmst",0.0467194588484045,"degC","v349"
"ssp119",1805,"gmst",0.0510431935881545,"degC","v349"
"ssp119",1806,"gmst",0.0552646953406726,"degC","v349"
"ssp119",1807,"gmst",0.0588780685046922,"degC","v349"
"ssp119",1808,"gmst",0.0614081103162648,"degC","v349"
"ssp119",1809,"gmst",-0.217471542994142,"degC","v349"
"ssp119",1810,"gmst",-0.34564520711094,"degC","v349"
"ssp119",1811,"gmst",-0.304541186477806,"degC","v349"
"ssp119",1812,"gmst",-0.228188887232302,"degC","v349"
"ssp119",1813,"gmst",-0.162645321283768,"degC","v349"
"ssp119",1814,"gmst",-0.114318177703712,"degC","v349"
"ssp119",1815,"gmst",-0.357211390471543,"degC","v349"
"ssp119",1816,"gmst",-0.621264228840199,"degC","v349"
"ssp119",1817,"gmst",-0.588934590971097,"degC","v349"
"ssp119",1818,"gmst",-0.472025667631955,"degC","v349"
"ssp119",1819,"gmst",-0.36373500674308,"degC","v349"
"ssp119",1820,"gmst",-0.280898295027632,"degC","v349"
"ssp119",1821,"gmst",-0.227287871328958,"degC","v349"
"ssp119",1822,"gmst",-0.187960557276606,"degC","v349"
"ssp119",1823,"gmst",-0.183980495653601,"degC","v349"
"ssp119",1824,"gmst",-0.160659823052903,"degC","v349"
"ssp119",1825,"gmst",-0.130208037526026,"degC","v349"
"ssp119",1826,"gmst",-0.102055762932239,"degC","v349"
"ssp119",1827,"gmst",-0.0789265414645394,"degC","v349"
"ssp119",1828,"gmst",-0.0608747025560945,"degC","v349"
"ssp119",1829,"gmst",-0.0453667682128986,"degC","v349"
"ssp119",1830,"gmst",-0.0323762776656687,"degC","v349"
"ssp119",1831,"gmst",-0.213185759191363,"degC","v349"
"ssp119",1832,"gmst",-0.289865865308672,"degC","v349"
"ssp119",1833,"gmst",-0.254375098724076,"degC","v349"
"ssp119",1834,"gmst",-0.197371325272578,"degC","v349"
"ssp119",1835,"gmst",-0.288650093467123,"degC","v349"
"ssp119",1836,"gmst",-0.314194776659017,"degC","v349"
"ssp119",1837,"gmst",-0.26592165976065,"degC","v349"
"ssp119",1838,"gmst",-0.20753908239894,"degC","v349"
"ssp119",1839,"gmst",-0.158665625590247,"degC","v349"
"ssp119",1840,"gmst",-0.121105898124544,"degC","v349"
"ssp119",1841,"gmst",-0.0922186807806939,"degC","v349"
