; 1pctCO2,
; hectordata 0.0.0.9000,
; commit fc16ecc44b072f5,
; date Tue Feb 13 14:51:37 2024,
Date,CO2_constrain
2049,3299.741255
2050,3332.738668
2051,3366.066054
2052,3399.726715
2053,3433.723982
2054,3468.061222
2055,3502.741834
2056,3537.769252
2057,3573.146945
2058,3608.878414
2059,3644.967198
2060,3681.41687
2061,3718.231039
2062,3755.413349
2063,3792.967483
2064,3830.897158
2065,3869.206129
2066,3907.898191
2067,3946.977173
2068,3986.446944
2069,4026.311414
2070,4066.574528
2500,4066.574528
